               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.038512,            0.041093,           0.0025174,             0.88081,             0.80121,             0.88116,             0.60249,             0.03259,            0.023435,           0.0016326,            0.003466,            0.003466,            0.003466
                  68,            0.038529,            0.040762,           0.0024791,             0.87853,             0.80405,             0.88201,             0.60319,            0.032548,            0.023418,           0.0016297,            0.003367,            0.003367,            0.003367
                  69,            0.038384,            0.040841,            0.002481,              0.8823,             0.80044,             0.88246,             0.60326,            0.032504,            0.023397,           0.0016268,            0.003268,            0.003268,            0.003268
                  70,            0.038356,             0.04076,           0.0024888,             0.88329,             0.79938,             0.88209,             0.60389,            0.032474,            0.023379,           0.0016247,            0.003169,            0.003169,            0.003169
                  71,             0.03831,            0.040568,            0.002457,             0.88271,             0.79987,             0.88271,             0.60434,            0.032448,             0.02336,           0.0016222,             0.00307,             0.00307,             0.00307
                  72,            0.038289,            0.040774,           0.0024541,             0.88253,             0.80133,             0.88356,             0.60467,             0.03242,            0.023344,           0.0016186,            0.002971,            0.002971,            0.002971
                  73,            0.038174,            0.040525,           0.0024638,             0.88284,             0.80155,             0.88337,             0.60506,            0.032397,             0.02332,           0.0016168,            0.002872,            0.002872,            0.002872
                  74,            0.038051,            0.040629,            0.002463,             0.88239,             0.80186,             0.88363,              0.6053,            0.032377,            0.023304,           0.0016153,            0.002773,            0.002773,            0.002773
                  75,            0.037948,            0.040531,           0.0024386,             0.88285,             0.80237,             0.88409,             0.60558,            0.032359,            0.023287,            0.001617,            0.002674,            0.002674,            0.002674
                  76,            0.037991,            0.040528,           0.0024223,             0.88336,             0.80273,             0.88439,             0.60538,            0.032341,            0.023271,           0.0016169,            0.002575,            0.002575,            0.002575
                  77,            0.037884,            0.040102,           0.0024448,             0.88406,             0.80182,             0.88448,             0.60552,            0.032327,            0.023253,            0.001614,            0.002476,            0.002476,            0.002476
                  78,            0.037879,            0.040294,           0.0024242,              0.8844,             0.80182,             0.88439,             0.60606,            0.032312,            0.023234,           0.0016115,            0.002377,            0.002377,            0.002377
                  79,            0.037654,            0.040216,           0.0023985,             0.88516,             0.80136,             0.88475,             0.60645,              0.0323,            0.023222,           0.0016086,            0.002278,            0.002278,            0.002278
                  80,            0.037571,            0.040002,           0.0023936,             0.88371,              0.8017,               0.885,             0.60623,            0.032282,             0.02321,           0.0016034,            0.002179,            0.002179,            0.002179
                  81,            0.037467,            0.039859,            0.002383,             0.88279,             0.80255,             0.88514,             0.60674,            0.032256,            0.023198,           0.0016023,             0.00208,             0.00208,             0.00208
                  82,            0.037494,            0.040124,           0.0023856,             0.88278,             0.80229,             0.88544,             0.60732,            0.032232,            0.023186,           0.0015986,            0.001981,            0.001981,            0.001981
                  83,            0.037405,             0.03983,           0.0023842,             0.88248,              0.8042,             0.88573,             0.60759,            0.032205,            0.023178,           0.0015984,            0.001882,            0.001882,            0.001882
                  84,            0.037195,            0.039787,           0.0023269,              0.8822,             0.80525,             0.88656,             0.60757,            0.032189,            0.023171,            0.001597,            0.001783,            0.001783,            0.001783
                  85,            0.037278,            0.039828,            0.002352,             0.88069,             0.80655,             0.88661,             0.60786,            0.032162,            0.023158,           0.0015957,            0.001684,            0.001684,            0.001684
                  86,            0.037147,            0.039771,           0.0023498,             0.88047,             0.80619,             0.88659,             0.60783,            0.032135,            0.023145,           0.0015943,            0.001585,            0.001585,            0.001585
                  87,            0.036938,            0.039473,           0.0023307,             0.88145,             0.80557,             0.88652,             0.60829,            0.032113,            0.023131,           0.0015941,            0.001486,            0.001486,            0.001486
                  88,             0.03694,            0.039293,           0.0023163,             0.88129,             0.80599,              0.8869,              0.6078,             0.03209,            0.023121,           0.0015907,            0.001387,            0.001387,            0.001387
                  89,            0.036785,            0.039369,           0.0023067,             0.88329,             0.80412,             0.88684,             0.60778,            0.032069,            0.023111,            0.001587,            0.001288,            0.001288,            0.001288
                  90,             0.03661,            0.038982,           0.0022862,             0.88341,             0.80289,              0.8871,              0.6083,            0.032049,            0.023099,           0.0015841,            0.001189,            0.001189,            0.001189
                  91,            0.036649,            0.039152,           0.0022753,             0.88093,             0.80467,             0.88778,             0.60851,            0.032031,            0.023088,           0.0015823,             0.00109,             0.00109,             0.00109
                  92,            0.036513,            0.039046,           0.0022689,             0.88117,             0.80513,             0.88796,             0.60857,             0.03201,            0.023076,           0.0015776,            0.000991,            0.000991,            0.000991
                  93,            0.036476,            0.039031,           0.0022573,             0.88051,             0.80573,             0.88792,             0.60894,            0.031991,            0.023065,           0.0015737,            0.000892,            0.000892,            0.000892
                  94,            0.036357,            0.038795,           0.0022516,              0.8823,             0.80534,             0.88786,             0.60932,             0.03197,            0.023049,           0.0015699,            0.000793,            0.000793,            0.000793
                  95,            0.036133,            0.038808,           0.0021955,             0.88036,             0.80802,             0.88789,             0.60951,            0.031949,            0.023037,           0.0015685,            0.000694,            0.000694,            0.000694
                  96,             0.03602,            0.038547,           0.0022172,             0.88366,             0.80738,              0.8883,             0.60944,            0.031931,            0.023024,           0.0015684,            0.000595,            0.000595,            0.000595
                  97,            0.035908,            0.038302,           0.0022162,             0.88353,             0.80831,             0.88819,             0.60933,            0.031916,            0.023016,           0.0015673,            0.000496,            0.000496,            0.000496
                  98,            0.035883,            0.038254,           0.0021831,             0.88376,             0.80897,             0.88846,             0.60992,            0.031903,            0.023011,           0.0015657,            0.000397,            0.000397,            0.000397
                  99,            0.035735,            0.038095,           0.0021921,             0.88311,             0.80903,             0.88837,             0.61022,            0.031893,            0.023002,           0.0015655,            0.000298,            0.000298,            0.000298
