               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.03461,            0.040678,            0.001685,             0.87381,             0.80371,             0.88787,             0.60571,             0.03189,            0.028138,           0.0014532,            0.004258,            0.004258,            0.004258
                  60,            0.034502,            0.040766,            0.001683,             0.87361,             0.80573,             0.88846,             0.60656,            0.031854,            0.028109,           0.0014496,            0.004159,            0.004159,            0.004159
                  61,            0.034478,            0.040594,           0.0017006,             0.87365,              0.8059,             0.88875,             0.60724,             0.03181,            0.028074,           0.0014459,             0.00406,             0.00406,             0.00406
                  62,            0.034391,            0.040257,           0.0016937,             0.87502,              0.8053,             0.88938,             0.60784,            0.031765,            0.028037,           0.0014414,            0.003961,            0.003961,            0.003961
                  63,            0.034341,            0.040636,           0.0016435,             0.87491,             0.80545,             0.88956,             0.60823,            0.031722,            0.028003,            0.001437,            0.003862,            0.003862,            0.003862
                  64,            0.034166,            0.040437,           0.0016639,             0.87399,             0.80658,             0.88975,             0.60958,            0.031683,            0.027971,           0.0014342,            0.003763,            0.003763,            0.003763
                  65,            0.034194,            0.040373,            0.001658,             0.87481,             0.80613,             0.88984,             0.61018,            0.031649,            0.027941,           0.0014298,            0.003664,            0.003664,            0.003664
                  66,             0.03406,            0.040357,           0.0016464,             0.87497,             0.80737,             0.88997,              0.6106,            0.031609,             0.02791,           0.0014247,            0.003565,            0.003565,            0.003565
                  67,            0.034046,            0.040258,           0.0016632,             0.87475,             0.80858,             0.89075,             0.61063,             0.03157,            0.027885,           0.0014204,            0.003466,            0.003466,            0.003466
                  68,            0.034002,            0.040192,           0.0016372,             0.87259,             0.81168,             0.89096,             0.61141,            0.031536,            0.027857,           0.0014164,            0.003367,            0.003367,            0.003367
                  69,            0.033946,            0.040111,           0.0016263,             0.87194,             0.81242,             0.89128,             0.61157,            0.031506,            0.027832,           0.0014148,            0.003268,            0.003268,            0.003268
                  70,             0.03387,            0.040051,           0.0016347,             0.87073,             0.81424,             0.89188,             0.61234,            0.031469,            0.027803,           0.0014131,            0.003169,            0.003169,            0.003169
                  71,            0.033834,            0.039845,           0.0015995,             0.87154,             0.81507,             0.89275,             0.61277,             0.03144,            0.027781,             0.00141,             0.00307,             0.00307,             0.00307
                  72,             0.03368,             0.03981,           0.0016105,             0.87221,             0.81455,             0.89324,               0.613,            0.031408,            0.027759,           0.0014071,            0.002971,            0.002971,            0.002971
                  73,            0.033621,            0.039832,           0.0015996,             0.87243,             0.81537,             0.89352,             0.61389,            0.031379,            0.027735,           0.0014057,            0.002872,            0.002872,            0.002872
                  74,            0.033518,            0.039548,           0.0015944,             0.87297,             0.81553,             0.89372,              0.6142,            0.031355,            0.027708,           0.0014043,            0.002773,            0.002773,            0.002773
                  75,            0.033468,            0.039721,           0.0015904,             0.87314,             0.81486,              0.8941,             0.61491,            0.031331,            0.027684,           0.0014046,            0.002674,            0.002674,            0.002674
                  76,            0.033379,             0.03942,           0.0015623,             0.87413,             0.81463,             0.89456,             0.61531,            0.031306,            0.027659,           0.0014035,            0.002575,            0.002575,            0.002575
                  77,            0.033338,            0.039224,           0.0015905,             0.87246,             0.81577,             0.89458,             0.61549,             0.03128,            0.027636,           0.0014024,            0.002476,            0.002476,            0.002476
                  78,            0.033275,            0.039337,           0.0015759,             0.87232,             0.81661,              0.8952,             0.61597,            0.031253,             0.02761,           0.0014003,            0.002377,            0.002377,            0.002377
                  79,            0.033194,            0.039286,           0.0015633,             0.87156,             0.81622,             0.89524,             0.61661,            0.031233,            0.027594,           0.0013988,            0.002278,            0.002278,            0.002278
                  80,            0.033098,            0.039076,           0.0015314,             0.87154,             0.81667,             0.89522,              0.6169,            0.031215,            0.027575,           0.0013955,            0.002179,            0.002179,            0.002179
                  81,            0.033029,            0.039133,           0.0015502,             0.87116,             0.81746,              0.8954,             0.61738,            0.031193,            0.027553,           0.0013932,             0.00208,             0.00208,             0.00208
                  82,            0.032894,            0.039163,           0.0015079,             0.87196,             0.81754,             0.89576,             0.61745,            0.031168,            0.027532,           0.0013914,            0.001981,            0.001981,            0.001981
                  83,            0.032823,            0.038828,           0.0015203,             0.87154,             0.81793,             0.89667,              0.6181,            0.031146,            0.027511,           0.0013873,            0.001882,            0.001882,            0.001882
                  84,            0.032751,            0.038669,           0.0014939,             0.87107,             0.81883,             0.89681,             0.61785,            0.031129,            0.027497,           0.0013839,            0.001783,            0.001783,            0.001783
                  85,            0.032676,            0.038563,           0.0014932,             0.87255,             0.81686,             0.89663,             0.61844,            0.031111,            0.027481,           0.0013815,            0.001684,            0.001684,            0.001684
                  86,            0.032495,            0.038705,           0.0014704,             0.87381,             0.81572,             0.89726,             0.61863,            0.031093,            0.027464,           0.0013793,            0.001585,            0.001585,            0.001585
                  87,            0.032415,            0.038218,           0.0014622,             0.87219,             0.81614,             0.89766,              0.6193,            0.031078,            0.027448,           0.0013783,            0.001486,            0.001486,            0.001486
                  88,            0.032337,            0.038333,           0.0014697,             0.87266,             0.81704,             0.89798,             0.61963,            0.031061,            0.027435,           0.0013774,            0.001387,            0.001387,            0.001387
                  89,             0.03224,            0.037946,           0.0014476,             0.87257,             0.81822,             0.89799,             0.61986,            0.031045,            0.027422,            0.001376,            0.001288,            0.001288,            0.001288
                  90,            0.032076,            0.038106,           0.0014352,             0.87408,             0.81679,               0.898,             0.61989,            0.031026,            0.027404,           0.0013751,            0.001189,            0.001189,            0.001189
                  91,            0.032008,            0.038052,           0.0014445,             0.87372,               0.817,               0.898,              0.6203,            0.031009,             0.02739,           0.0013759,             0.00109,             0.00109,             0.00109
                  92,            0.032002,            0.037968,            0.001415,             0.87527,              0.8156,             0.89823,             0.62053,            0.030995,            0.027373,           0.0013755,            0.000991,            0.000991,            0.000991
                  93,            0.031871,            0.037734,           0.0014235,             0.87466,             0.81622,             0.89841,             0.62078,            0.030981,            0.027358,           0.0013753,            0.000892,            0.000892,            0.000892
